       Sort_Method Sample_Size Prob_Fail NumRows    Mean Min  Max Median     StdDev
1      Bubble_Sort         100     0.25%      50   87.62  47  100   93.0  14.823988
2      Bubble_Sort         100      0.5%      50   84.52  53  100   87.0  11.389648
3      Bubble_Sort         100     0.75%      50   75.58  40  100   76.5  18.141271
4      Bubble_Sort         100        1%      50   82.66  33  100   92.0  19.762477
5      Bubble_Sort         100     1.25%      50   58.22  31   92   56.0  15.438211
6      Bubble_Sort         100      1.5%      50   57.66  33   97   55.5  18.008626
7      Bubble_Sort         100     1.75%      50   57.40  28   97   56.0  14.766205
8      Bubble_Sort         500     0.25%      50  351.16 184  497  347.0  84.335182
9      Bubble_Sort         500      0.5%      50  234.08  94  359  227.0  73.988648
10     Bubble_Sort         500     0.75%      50  180.68  84  349  161.5  69.941503
11     Bubble_Sort         500        1%      50  174.88  88  332  169.0  64.623443
12     Bubble_Sort         500     1.25%      50  191.66  84  349  178.5  73.331679
13     Bubble_Sort         500      1.5%      50  139.64  69  293  131.5  52.425169
14     Bubble_Sort         500     1.75%      50  163.26  79  332  150.5  58.196644
15     Bubble_Sort        1000     0.25%      50  418.70 215  914  390.0 170.866489
16     Bubble_Sort        1000      0.5%      50  417.02 179  741  389.0 155.051471
17     Bubble_Sort        1000     0.75%      50  315.76 169  660  285.0 112.854351
18     Bubble_Sort        1000        1%      50  295.44 122  690  254.5 125.986906
19     Bubble_Sort        1000     1.25%      50  284.88 135  630  276.5 106.418818
20     Bubble_Sort        1000      1.5%      50  231.00 100  407  231.5  85.829684
21     Bubble_Sort        1000     1.75%      50  174.28  83  316  164.0  56.494551
22     Bubble_Sort        2500     0.25%      50 1013.02 484 1864  975.0 345.841800
23     Bubble_Sort        2500      0.5%      50  555.96 276 1249  497.5 192.017108
24     Bubble_Sort        2500     0.75%      50  492.08 215 1098  483.0 160.969745
25     Bubble_Sort        2500        1%      50  430.60 201 1021  392.0 150.809922
26     Bubble_Sort        2500     1.25%      50  327.78 134  627  295.5  98.817971
27     Bubble_Sort        2500      1.5%      50  281.10 155  617  248.5 114.373225
28     Bubble_Sort        2500     1.75%      50  253.66  99  492  230.5  84.337904
29     Bubble_Sort        5000     0.25%      50  999.56 558 1914  983.0 278.757605
30     Bubble_Sort        5000      0.5%      50  775.12 406 1527  726.0 269.207654
31     Bubble_Sort        5000     0.75%      50  535.60 330 1058  505.5 153.502111
32     Bubble_Sort        5000        1%      50  451.48 261 1100  431.0 144.877181
33     Bubble_Sort        5000     1.25%      50  382.34 250  795  370.0  98.750895
34     Bubble_Sort        5000      1.5%      50  351.60 212  612  324.5  92.334795
35     Bubble_Sort        5000     1.75%      50  308.70 168  675  284.0 104.468187
36     Bubble_Sort        7500     0.25%      50 1381.50 522 2696 1277.5 489.630692
37     Bubble_Sort        7500      0.5%      50  820.74 373 1343  729.0 262.248349
38     Bubble_Sort        7500     0.75%      50  698.06 290 1237  646.5 228.359134
39     Bubble_Sort        7500        1%      50  509.90 281  910  501.5 139.148761
40     Bubble_Sort        7500     1.25%      50  402.42 244  704  396.0  97.324010
41     Bubble_Sort        7500      1.5%      50  397.56 223  656  375.5 102.858960
42     Bubble_Sort        7500     1.75%      50  366.88 178  619  348.0 112.159260
43     Bubble_Sort       10000     0.25%      50 1574.96 751 2746 1437.0 536.069443
44     Bubble_Sort       10000      0.5%      50 1200.68 483 2568 1121.0 437.741068
45     Bubble_Sort       10000     0.75%      50  752.08 417 1554  697.0 243.220303
46     Bubble_Sort       10000        1%      50  616.28 370 1188  574.5 196.601850
47     Bubble_Sort       10000     1.25%      50  450.20 261  715  437.5 109.405630
48     Bubble_Sort       10000      1.5%      50  381.54 240  703  365.0  85.253574
49     Bubble_Sort       10000     1.75%      50  419.36 233  826  397.0 127.342181
50  Insertion_Sort         100     0.25%      50   41.60  21   72   39.0  12.991363
51  Insertion_Sort         100      0.5%      50   28.84  17   55   27.0   8.892464
52  Insertion_Sort         100     0.75%      50   25.04  13   50   24.0   6.561981
53  Insertion_Sort         100        1%      50   20.58  12   33   20.0   5.034939
54  Insertion_Sort         100     1.25%      50   18.66  12   34   17.5   5.180852
55  Insertion_Sort         100      1.5%      50   17.76  10   27   17.0   3.878565
56  Insertion_Sort         100     1.75%      50   15.32   9   24   15.0   3.359057
57  Insertion_Sort         500     0.25%      50   45.68  27   64   45.5   9.420863
58  Insertion_Sort         500      0.5%      50   34.26  21   54   33.0   7.227527
59  Insertion_Sort         500     0.75%      50   28.62  20   45   28.0   4.873460
60  Insertion_Sort         500        1%      50   24.76  18   39   24.0   5.008401
61  Insertion_Sort         500     1.25%      50   23.92  16   35   23.0   4.379171
62  Insertion_Sort         500      1.5%      50   20.96  14   30   21.0   3.630708
63  Insertion_Sort         500     1.75%      50   19.82  14   29   19.5   3.217871
64  Insertion_Sort        1000     0.25%      50   49.96  30   86   49.0  11.056368
65  Insertion_Sort        1000      0.5%      50   36.16  26   51   35.5   6.218340
66  Insertion_Sort        1000     0.75%      50   31.42  22   52   30.0   6.427270
67  Insertion_Sort        1000        1%      50   27.94  21   38   27.0   4.687848
68  Insertion_Sort        1000     1.25%      50   24.72  19   40   23.5   4.584980
69  Insertion_Sort        1000      1.5%      50   23.48  18   35   23.0   3.215016
70  Insertion_Sort        1000     1.75%      50   21.34  16   31   21.0   3.000748
71  Insertion_Sort        2500     0.25%      50   54.52  41   79   54.5   8.217055
72  Insertion_Sort        2500      0.5%      50   40.24  29   50   40.5   5.783721
73  Insertion_Sort        2500     0.75%      50   34.26  27   53   33.0   5.310021
74  Insertion_Sort        2500        1%      50   29.42  23   43   29.0   4.305146
75  Insertion_Sort        2500     1.25%      50   28.44  21   41   28.0   4.204759
76  Insertion_Sort        2500      1.5%      50   26.12  20   34   26.0   3.426428
77  Insertion_Sort        2500     1.75%      50   23.74  19   31   24.0   2.724118
78  Insertion_Sort        5000     0.25%      50   59.00  44   77   60.0   8.383658
79  Insertion_Sort        5000      0.5%      50   45.58  32   69   45.0   6.608869
80  Insertion_Sort        5000     0.75%      50   38.46  29   50   38.0   4.924781
81  Insertion_Sort        5000        1%      50   33.16  26   46   32.0   4.743890
82  Insertion_Sort        5000     1.25%      50   30.22  22   42   30.0   3.671679
83  Insertion_Sort        5000      1.5%      50   27.92  22   41   27.0   3.463159
84  Insertion_Sort        5000     1.75%      50   25.86  20   35   26.0   3.434578
85  Insertion_Sort        7500     0.25%      50   61.68  43   82   62.0   9.114778
86  Insertion_Sort        7500      0.5%      50   45.30  34   60   45.5   5.092011
87  Insertion_Sort        7500     0.75%      50   37.70  32   49   37.0   4.166190
88  Insertion_Sort        7500        1%      50   33.72  26   45   33.0   4.110911
89  Insertion_Sort        7500     1.25%      50   31.36  24   43   31.0   4.183349
90  Insertion_Sort        7500      1.5%      50   28.96  23   37   29.0   3.276135
91  Insertion_Sort        7500     1.75%      50   27.30  22   37   27.0   3.052266
92  Insertion_Sort       10000     0.25%      50   62.76  50   84   62.0   7.823460
93  Insertion_Sort       10000      0.5%      50   46.76  35   60   47.0   5.655267
94  Insertion_Sort       10000     0.75%      50   38.54  32   52   38.0   4.504918
95  Insertion_Sort       10000        1%      50   35.44  27   45   35.0   3.865916
96  Insertion_Sort       10000     1.25%      50   31.26  26   38   31.0   3.486475
97  Insertion_Sort       10000      1.5%      50   29.98  25   38   30.0   3.197512
98  Insertion_Sort       10000     1.75%      50   27.98  23   38   28.0   3.013507
99      Merge_Sort         100     0.25%      50   72.14  39  100   69.5  20.209121
100     Merge_Sort         100      0.5%      50   58.14  30  100   54.5  19.226905
101     Merge_Sort         100     0.75%      50   48.38  19   92   47.0  15.594204
102     Merge_Sort         100        1%      50   42.96  23   83   39.0  14.850218
103     Merge_Sort         100     1.25%      50   37.34  20   82   35.0  12.210083
104     Merge_Sort         100      1.5%      50   31.08  14   71   30.0  10.937373
105     Merge_Sort         100     1.75%      50   31.16  15   82   29.0  10.763430
106     Merge_Sort         500     0.25%      50  146.62  59  310  136.5  57.206711
107     Merge_Sort         500      0.5%      50   89.62  45  201   84.5  30.550654
108     Merge_Sort         500     0.75%      50   72.42  38  120   70.0  19.031756
109     Merge_Sort         500        1%      50   58.98  36  102   58.5  14.032746
110     Merge_Sort         500     1.25%      50   48.54  29   80   47.0  11.221717
111     Merge_Sort         500      1.5%      50   40.88  23   70   39.0   9.863642
112     Merge_Sort         500     1.75%      50   39.78  21   73   38.0  10.298187
113     Merge_Sort        1000     0.25%      50  174.52  84  400  167.0  59.557977
114     Merge_Sort        1000      0.5%      50  102.12  55  178  100.0  26.269902
115     Merge_Sort        1000     0.75%      50   74.56  44  135   72.0  19.975659
116     Merge_Sort        1000        1%      50   60.04  39  118   57.0  15.880883
117     Merge_Sort        1000     1.25%      50   51.00  31   78   50.5  10.675167
118     Merge_Sort        1000      1.5%      50   47.38  27   86   47.0  11.284611
119     Merge_Sort        1000     1.75%      50   40.76  29   89   38.0  10.794103
120     Merge_Sort        2500     0.25%      50  201.28 121  329  192.0  47.891476
121     Merge_Sort        2500      0.5%      50  115.82  77  192  109.0  28.892263
122     Merge_Sort        2500     0.75%      50   91.32  59  186   90.0  25.363834
123     Merge_Sort        2500        1%      50   69.66  45  146   62.5  22.982345
124     Merge_Sort        2500     1.25%      50   57.66  40  152   54.5  17.356537
125     Merge_Sort        2500      1.5%      50   48.20  32   82   48.0   9.831229
126     Merge_Sort        2500     1.75%      50   42.86  30   89   40.5  10.251949
127     Merge_Sort        5000     0.25%      50  215.66 141  391  203.5  57.360518
128     Merge_Sort        5000      0.5%      50  125.38  77  181  122.5  24.998686
129     Merge_Sort        5000     0.75%      50   88.22  57  181   87.0  19.832245
130     Merge_Sort        5000        1%      50   73.12  45  136   68.0  15.843160
131     Merge_Sort        5000     1.25%      50   57.50  40   81   56.5   9.975992
132     Merge_Sort        5000      1.5%      50   49.68  34   91   48.0  10.888001
133     Merge_Sort        5000     1.75%      50   43.10  32   62   41.0   6.878686
134     Merge_Sort        7500     0.25%      50  223.88 152  454  201.0  58.883018
135     Merge_Sort        7500      0.5%      50  129.60  85  237  121.0  32.831667
136     Merge_Sort        7500     0.75%      50   92.62  65  147   89.5  18.215143
137     Merge_Sort        7500        1%      50   70.46  49  103   69.0  12.424811
138     Merge_Sort        7500     1.25%      50   59.04  43  105   56.5  11.600422
139     Merge_Sort        7500      1.5%      50   49.24  38   73   47.0   8.751816
140     Merge_Sort        7500     1.75%      50   43.76  30   61   43.0   6.738740
141     Merge_Sort       10000     0.25%      50  236.02 145  410  233.5  51.005598
142     Merge_Sort       10000      0.5%      50  135.12  83  260  127.5  36.328793
143     Merge_Sort       10000     0.75%      50   95.60  57  215   92.0  26.473707
144     Merge_Sort       10000        1%      50   73.38  51  164   71.0  18.079067
145     Merge_Sort       10000     1.25%      50   61.04  44   87   60.0  10.247867
146     Merge_Sort       10000      1.5%      50   54.10  35   80   52.5  11.090076
147     Merge_Sort       10000     1.75%      50   44.36  31   71   43.0   8.554173
148     Quick_Sort         100     0.25%      50   70.26  29  100   71.5  22.455225
149     Quick_Sort         100      0.5%      50   54.02  26  100   50.0  20.724126
150     Quick_Sort         100     0.75%      50   42.98  20   92   37.5  16.638399
151     Quick_Sort         100        1%      50   36.94  19   59   36.0   9.910642
152     Quick_Sort         100     1.25%      50   36.98  20   77   34.0  12.137797
153     Quick_Sort         100      1.5%      50   30.54  16   57   30.0   8.298537
154     Quick_Sort         100     1.75%      50   28.02  13   69   26.5   9.347028
155     Quick_Sort         500     0.25%      50  125.40  65  239  117.5  37.292008
156     Quick_Sort         500      0.5%      50   82.76  49  135   81.5  21.139536
157     Quick_Sort         500     0.75%      50   65.52  42  120   62.5  15.688602
158     Quick_Sort         500        1%      50   59.18  34  108   55.5  15.683984
159     Quick_Sort         500     1.25%      50   48.42  30   85   47.0  12.679873
160     Quick_Sort         500      1.5%      50   46.66  27   75   46.5  11.534527
161     Quick_Sort         500     1.75%      50   39.36  25   57   37.5   8.971065
162     Quick_Sort        1000     0.25%      50  147.54  88  265  138.0  35.907597
163     Quick_Sort        1000      0.5%      50  100.74  51  199   93.0  25.945634
164     Quick_Sort        1000     0.75%      50   79.00  50  131   73.0  18.406964
165     Quick_Sort        1000        1%      50   65.60  39  122   62.5  18.044164
166     Quick_Sort        1000     1.25%      50   56.74  37   88   57.0  11.800744
167     Quick_Sort        1000      1.5%      50   47.78  31   75   49.0   9.630500
168     Quick_Sort        1000     1.75%      50   45.24  32   68   43.5   9.405947
169     Quick_Sort        2500     0.25%      50  188.38 126  311  181.0  39.600500
170     Quick_Sort        2500      0.5%      50  126.14  81  201  124.0  25.642766
171     Quick_Sort        2500     0.75%      50   94.30  65  152   89.0  21.656172
172     Quick_Sort        2500        1%      50   72.64  52  109   71.0  13.136272
173     Quick_Sort        2500     1.25%      50   64.62  46  100   64.0  10.739760
174     Quick_Sort        2500      1.5%      50   58.30  43   85   57.5   9.435603
175     Quick_Sort        2500     1.75%      50   52.30  37   81   49.5  10.577701
176     Quick_Sort        5000     0.25%      50  221.28 151  372  221.5  41.935830
177     Quick_Sort        5000      0.5%      50  133.82  99  184  132.5  21.519512
178     Quick_Sort        5000     0.75%      50  106.28  81  220  103.5  22.843782
179     Quick_Sort        5000        1%      50   83.98  59  124   82.5  12.351138
180     Quick_Sort        5000     1.25%      50   70.12  52   94   69.0  10.171268
181     Quick_Sort        5000      1.5%      50   62.80  48   98   61.0  11.335334
182     Quick_Sort        5000     1.75%      50   59.32  45  110   56.0  11.706339
183     Quick_Sort        7500     0.25%      50  234.50 173  389  230.0  45.362148
184     Quick_Sort        7500      0.5%      50  140.12  91  218  134.0  28.060169
185     Quick_Sort        7500     0.75%      50  114.22  83  185  112.5  20.560801
186     Quick_Sort        7500        1%      50   88.44  63  132   88.0  15.229081
187     Quick_Sort        7500     1.25%      50   73.58  54  101   72.5  11.483955
188     Quick_Sort        7500      1.5%      50   67.56  52  112   64.0  11.019760
189     Quick_Sort        7500     1.75%      50   60.04  47   78   60.0   7.621024
190     Quick_Sort       10000     0.25%      50  244.04 154  403  238.5  48.151530
191     Quick_Sort       10000      0.5%      50  147.88 109  208  146.0  23.694174
192     Quick_Sort       10000     0.75%      50  112.78  84  153  110.5  17.483858
193     Quick_Sort       10000        1%      50   91.10  74  130   89.5  12.030997
194     Quick_Sort       10000     1.25%      50   78.32  58  113   74.0  13.580358
195     Quick_Sort       10000      1.5%      50   68.06  51   96   65.5  10.385252
196     Quick_Sort       10000     1.75%      50   61.70  46   90   60.5   9.396591
