"","Sort_Method","Sample_Size","Prob_Fail","Size_Larg_Sort_Array","Num_Switches"
"1","Quick_Sort","100","1%",72,2
"2","Quick_Sort","100","5%",9,67
"3","Quick_Sort","100","10%",9,88
"4","Quick_Sort","100","15%",10,90
"5","Quick_Sort","1000","1%",87,452
"6","Quick_Sort","1000","5%",31,820
"7","Quick_Sort","1000","10%",17,922
"8","Quick_Sort","1000","15%",11,938
"9","Quick_Sort","5000","1%",200,1290
"10","Quick_Sort","5000","5%",81,3942
"11","Quick_Sort","5000","10%",43,4695
"12","Quick_Sort","5000","15%",18,4697
"13","Quick_Sort","10000","1%",259,3938
"14","Quick_Sort","10000","5%",112,7844
"15","Quick_Sort","10000","10%",105,8899
"16","Quick_Sort","10000","15%",37,9476
"17","Quick_Sort","50000","1%",956,11753
"18","Quick_Sort","50000","5%",534,36189
"19","Quick_Sort","50000","10%",330,47365
"20","Quick_Sort","50000","15%",126,47626
"21","Quick_Sort","100000","1%",1996,29387
"22","Quick_Sort","100000","5%",1315,70059
"23","Quick_Sort","100000","10%",1000,92072
"24","Quick_Sort","100000","15%",197,93260
"25","Merge_Sort","100","1%",44,36
"26","Merge_Sort","100","5%",13,80
"27","Merge_Sort","100","10%",8,95
"28","Merge_Sort","100","15%",9,93
"29","Merge_Sort","1000","1%",67,407
"30","Merge_Sort","1000","5%",20,931
"31","Merge_Sort","1000","10%",12,951
"32","Merge_Sort","1000","15%",12,962
"33","Merge_Sort","5000","1%",101,2954
"34","Merge_Sort","5000","5%",46,4600
"35","Merge_Sort","5000","10%",19,4730
"36","Merge_Sort","5000","15%",15,4822
"37","Merge_Sort","10000","1%",174,6035
"38","Merge_Sort","10000","5%",78,9225
"39","Merge_Sort","10000","10%",35,9492
"40","Merge_Sort","10000","15%",16,9643
"41","Merge_Sort","50000","1%",413,30215
"42","Merge_Sort","50000","5%",71,45979
"43","Merge_Sort","50000","10%",71,47557
"44","Merge_Sort","50000","15%",63,48056
"45","Merge_Sort","100000","1%",557,61730
"46","Merge_Sort","100000","5%",117,92057
"47","Merge_Sort","100000","10%",60,94932
"48","Merge_Sort","100000","15%",56,96239
"49","Insertion_Sort","100","1%",17,90
"50","Insertion_Sort","100","5%",9,98
"51","Insertion_Sort","100","10%",7,99
"52","Insertion_Sort","100","15%",7,98
"53","Insertion_Sort","1000","1%",31,978
"54","Insertion_Sort","1000","5%",16,986
"55","Insertion_Sort","1000","10%",13,983
"56","Insertion_Sort","1000","15%",9,986
"57","Insertion_Sort","5000","1%",36,4892
"58","Insertion_Sort","5000","5%",18,4908
"59","Insertion_Sort","5000","10%",16,4916
"60","Insertion_Sort","5000","15%",12,4918
"61","Insertion_Sort","10000","1%",34,9783
"62","Insertion_Sort","10000","5%",19,9822
"63","Insertion_Sort","10000","10%",15,9824
"64","Insertion_Sort","10000","15%",11,9849
"65","Insertion_Sort","50000","1%",40,49083
"66","Insertion_Sort","50000","5%",20,49046
"67","Insertion_Sort","50000","10%",15,49136
"68","Insertion_Sort","50000","15%",15,49217
"69","Insertion_Sort","100000","1%",51,97905
"70","Insertion_Sort","100000","5%",20,98134
"71","Insertion_Sort","100000","10%",17,98305
"72","Insertion_Sort","100000","15%",16,98442
"73","Bubble_Sort","100","1%",98,21
"74","Bubble_Sort","100","5%",28,47
"75","Bubble_Sort","100","10%",37,96
"76","Bubble_Sort","100","15%",12,94
"77","Bubble_Sort","1000","1%",486,286
"78","Bubble_Sort","1000","5%",135,866
"79","Bubble_Sort","1000","10%",94,929
"80","Bubble_Sort","1000","15%",90,968
"81","Bubble_Sort","5000","1%",424,1242
"82","Bubble_Sort","5000","5%",255,4131
"83","Bubble_Sort","5000","10%",279,4587
"84","Bubble_Sort","5000","15%",175,4699
"85","Bubble_Sort","10000","1%",1696,2431
"86","Bubble_Sort","10000","5%",421,8400
"87","Bubble_Sort","10000","10%",327,9077
"88","Bubble_Sort","10000","15%",278,9555
"89","Bubble_Sort","50000","1%",4558,13265
"90","Bubble_Sort","50000","5%",1484,41180
"91","Bubble_Sort","50000","10%",749,45787
"92","Bubble_Sort","50000","15%",1189,47610
"93","Bubble_Sort","100000","1%",4380,26987
"94","Bubble_Sort","100000","5%",1795,82377
"95","Bubble_Sort","100000","10%",2509,91466
"96","Bubble_Sort","100000","15%",2700,94713
