n;eps;maxr;Function
100;0.01;50;Randint
100;0.025;50;Randint
100;0.05;50;Randint
100;0.075;50;Randint
100;0.10;50;Randint
100;0.125;50;Randint
100;0.15;50;Randint
1000;0.01;500;Randint
1000;0.025;500;Randint
1000;0.05;500;Randint
1000;0.075;500;Randint
1000;0.10;500;Randint
1000;0.125;500;Randint
1000;0.15;500;Randint
2500;0.01;1250;Randint
2500;0.025;1250;Randint
2500;0.05;1250;Randint
2500;0.075;1250;Randint
2500;0.10;1250;Randint
2500;0.125;1250;Randint
2500;0.15;1250;Randint
5000;0.01;2500;Randint
5000;0.025;2500;Randint
5000;0.05;2500;Randint
5000;0.075;2500;Randint
5000;0.10;2500;Randint
5000;0.125;2500;Randint
5000;0.15;2500;Randint
7500;0.01;3750;Randint
7500;0.025;3750;Randint
7500;0.05;3750;Randint
7500;0.075;3750;Randint
7500;0.10;3750;Randint
7500;0.125;3750;Randint
7500;0.15;3750;Randint
10000;0.01;5000;Randint
10000;0.025;5000;Randint
10000;0.05;5000;Randint
10000;0.075;5000;Randint
10000;0.10;5000;Randint
10000;0.125;5000;Randint
10000;0.15;5000;Randint
