n;eps;maxr;Function
100;0.0025;50;Randint
100;0.005;50;Randint
100;0.0075;50;Randint
100;0.01;50;Randint
100;0.0125;50;Randint
100;0.015;50;Randint
100;0.0175;50;Randint
500;0.0025;250;Randint
500;0.005;250;Randint
500;0.0075;250;Randint
500;0.01;250;Randint
500;0.0125;250;Randint
500;0.015;250;Randint
500;0.0175;250;Randint
1000;0.0025;500;Randint
1000;0.005;500;Randint
1000;0.0075;500;Randint
1000;0.01;500;Randint
1000;0.0125;500;Randint
1000;0.015;500;Randint
1000;0.0175;500;Randint
2500;0.0025;1250;Randint
2500;0.005;1250;Randint
2500;0.0075;1250;Randint
2500;0.01;1250;Randint
2500;0.0125;1250;Randint
2500;0.015;1250;Randint
2500;0.0175;1250;Randint
5000;0.0025;2500;Randint
5000;0.005;2500;Randint
5000;0.0075;2500;Randint
5000;0.01;2500;Randint
5000;0.0125;2500;Randint
5000;0.015;2500;Randint
5000;0.0175;2500;Randint
7500;0.0025;3750;Randint
7500;0.005;3750;Randint
7500;0.0075;3750;Randint
7500;0.01;3750;Randint
7500;0.0125;3750;Randint
7500;0.015;3750;Randint
7500;0.0175;3750;Randint
10000;0.0025;5000;Randint
10000;0.005;5000;Randint
10000;0.0075;5000;Randint
10000;0.01;5000;Randint
10000;0.0125;5000;Randint
10000;0.015;5000;Randint
10000;0.0175;5000;Randint
