       Sort_Method Sequence_Size Prob_Fail SampleSize    Mean Min  Max Median StdDev
1      Bubble_Sort           100     0.25%         50   87.62  47  100   93.0  14.82
2      Bubble_Sort           100      0.5%         50   84.52  53  100   87.0  11.39
3      Bubble_Sort           100     0.75%         50   75.58  40  100   76.5  18.14
4      Bubble_Sort           100        1%         50   82.66  33  100   92.0  19.76
5      Bubble_Sort           100     1.25%         50   58.22  31   92   56.0  15.44
6      Bubble_Sort           100      1.5%         50   57.66  33   97   55.5  18.01
7      Bubble_Sort           100     1.75%         50   57.40  28   97   56.0  14.77
8      Bubble_Sort           500     0.25%         50  351.16 184  497  347.0  84.34
9      Bubble_Sort           500      0.5%         50  234.08  94  359  227.0  73.99
10     Bubble_Sort           500     0.75%         50  180.68  84  349  161.5  69.94
11     Bubble_Sort           500        1%         50  174.88  88  332  169.0  64.62
12     Bubble_Sort           500     1.25%         50  191.66  84  349  178.5  73.33
13     Bubble_Sort           500      1.5%         50  139.64  69  293  131.5  52.43
14     Bubble_Sort           500     1.75%         50  163.26  79  332  150.5  58.20
15     Bubble_Sort          1000     0.25%         50  418.70 215  914  390.0 170.87
16     Bubble_Sort          1000      0.5%         50  417.02 179  741  389.0 155.05
17     Bubble_Sort          1000     0.75%         50  315.76 169  660  285.0 112.85
18     Bubble_Sort          1000        1%         50  295.44 122  690  254.5 125.99
19     Bubble_Sort          1000     1.25%         50  284.88 135  630  276.5 106.42
20     Bubble_Sort          1000      1.5%         50  231.00 100  407  231.5  85.83
21     Bubble_Sort          1000     1.75%         50  174.28  83  316  164.0  56.49
22     Bubble_Sort          2500     0.25%         50 1013.02 484 1864  975.0 345.84
23     Bubble_Sort          2500      0.5%         50  555.96 276 1249  497.5 192.02
24     Bubble_Sort          2500     0.75%         50  492.08 215 1098  483.0 160.97
25     Bubble_Sort          2500        1%         50  430.60 201 1021  392.0 150.81
26     Bubble_Sort          2500     1.25%         50  327.78 134  627  295.5  98.82
27     Bubble_Sort          2500      1.5%         50  281.10 155  617  248.5 114.37
28     Bubble_Sort          2500     1.75%         50  253.66  99  492  230.5  84.34
29     Bubble_Sort          5000     0.25%         50  999.56 558 1914  983.0 278.76
30     Bubble_Sort          5000      0.5%         50  775.12 406 1527  726.0 269.21
31     Bubble_Sort          5000     0.75%         50  535.60 330 1058  505.5 153.50
32     Bubble_Sort          5000        1%         50  451.48 261 1100  431.0 144.88
33     Bubble_Sort          5000     1.25%         50  382.34 250  795  370.0  98.75
34     Bubble_Sort          5000      1.5%         50  351.60 212  612  324.5  92.33
35     Bubble_Sort          5000     1.75%         50  308.70 168  675  284.0 104.47
36     Bubble_Sort          7500     0.25%         50 1381.50 522 2696 1277.5 489.63
37     Bubble_Sort          7500      0.5%         50  820.74 373 1343  729.0 262.25
38     Bubble_Sort          7500     0.75%         50  698.06 290 1237  646.5 228.36
39     Bubble_Sort          7500        1%         50  509.90 281  910  501.5 139.15
40     Bubble_Sort          7500     1.25%         50  402.42 244  704  396.0  97.32
41     Bubble_Sort          7500      1.5%         50  397.56 223  656  375.5 102.86
42     Bubble_Sort          7500     1.75%         50  366.88 178  619  348.0 112.16
43     Bubble_Sort         10000     0.25%         50 1574.96 751 2746 1437.0 536.07
44     Bubble_Sort         10000      0.5%         50 1200.68 483 2568 1121.0 437.74
45     Bubble_Sort         10000     0.75%         50  752.08 417 1554  697.0 243.22
46     Bubble_Sort         10000        1%         50  616.28 370 1188  574.5 196.60
47     Bubble_Sort         10000     1.25%         50  450.20 261  715  437.5 109.41
48     Bubble_Sort         10000      1.5%         50  381.54 240  703  365.0  85.25
49     Bubble_Sort         10000     1.75%         50  419.36 233  826  397.0 127.34
50  Insertion_Sort           100     0.25%         50   41.60  21   72   39.0  12.99
51  Insertion_Sort           100      0.5%         50   28.84  17   55   27.0   8.89
52  Insertion_Sort           100     0.75%         50   25.04  13   50   24.0   6.56
53  Insertion_Sort           100        1%         50   20.58  12   33   20.0   5.03
54  Insertion_Sort           100     1.25%         50   18.66  12   34   17.5   5.18
55  Insertion_Sort           100      1.5%         50   17.76  10   27   17.0   3.88
56  Insertion_Sort           100     1.75%         50   15.32   9   24   15.0   3.36
57  Insertion_Sort           500     0.25%         50   45.68  27   64   45.5   9.42
58  Insertion_Sort           500      0.5%         50   34.26  21   54   33.0   7.23
59  Insertion_Sort           500     0.75%         50   28.62  20   45   28.0   4.87
60  Insertion_Sort           500        1%         50   24.76  18   39   24.0   5.01
61  Insertion_Sort           500     1.25%         50   23.92  16   35   23.0   4.38
62  Insertion_Sort           500      1.5%         50   20.96  14   30   21.0   3.63
63  Insertion_Sort           500     1.75%         50   19.82  14   29   19.5   3.22
64  Insertion_Sort          1000     0.25%         50   49.96  30   86   49.0  11.06
65  Insertion_Sort          1000      0.5%         50   36.16  26   51   35.5   6.22
66  Insertion_Sort          1000     0.75%         50   31.42  22   52   30.0   6.43
67  Insertion_Sort          1000        1%         50   27.94  21   38   27.0   4.69
68  Insertion_Sort          1000     1.25%         50   24.72  19   40   23.5   4.58
69  Insertion_Sort          1000      1.5%         50   23.48  18   35   23.0   3.22
70  Insertion_Sort          1000     1.75%         50   21.34  16   31   21.0   3.00
71  Insertion_Sort          2500     0.25%         50   54.52  41   79   54.5   8.22
72  Insertion_Sort          2500      0.5%         50   40.24  29   50   40.5   5.78
73  Insertion_Sort          2500     0.75%         50   34.26  27   53   33.0   5.31
74  Insertion_Sort          2500        1%         50   29.42  23   43   29.0   4.31
75  Insertion_Sort          2500     1.25%         50   28.44  21   41   28.0   4.20
76  Insertion_Sort          2500      1.5%         50   26.12  20   34   26.0   3.43
77  Insertion_Sort          2500     1.75%         50   23.74  19   31   24.0   2.72
78  Insertion_Sort          5000     0.25%         50   59.00  44   77   60.0   8.38
79  Insertion_Sort          5000      0.5%         50   45.58  32   69   45.0   6.61
80  Insertion_Sort          5000     0.75%         50   38.46  29   50   38.0   4.92
81  Insertion_Sort          5000        1%         50   33.16  26   46   32.0   4.74
82  Insertion_Sort          5000     1.25%         50   30.22  22   42   30.0   3.67
83  Insertion_Sort          5000      1.5%         50   27.92  22   41   27.0   3.46
84  Insertion_Sort          5000     1.75%         50   25.86  20   35   26.0   3.43
85  Insertion_Sort          7500     0.25%         50   61.68  43   82   62.0   9.11
86  Insertion_Sort          7500      0.5%         50   45.30  34   60   45.5   5.09
87  Insertion_Sort          7500     0.75%         50   37.70  32   49   37.0   4.17
88  Insertion_Sort          7500        1%         50   33.72  26   45   33.0   4.11
89  Insertion_Sort          7500     1.25%         50   31.36  24   43   31.0   4.18
90  Insertion_Sort          7500      1.5%         50   28.96  23   37   29.0   3.28
91  Insertion_Sort          7500     1.75%         50   27.30  22   37   27.0   3.05
92  Insertion_Sort         10000     0.25%         50   62.76  50   84   62.0   7.82
93  Insertion_Sort         10000      0.5%         50   46.76  35   60   47.0   5.66
94  Insertion_Sort         10000     0.75%         50   38.54  32   52   38.0   4.50
95  Insertion_Sort         10000        1%         50   35.44  27   45   35.0   3.87
96  Insertion_Sort         10000     1.25%         50   31.26  26   38   31.0   3.49
97  Insertion_Sort         10000      1.5%         50   29.98  25   38   30.0   3.20
98  Insertion_Sort         10000     1.75%         50   27.98  23   38   28.0   3.01
99      Merge_Sort           100     0.25%         50   72.14  39  100   69.5  20.21
100     Merge_Sort           100      0.5%         50   58.14  30  100   54.5  19.23
101     Merge_Sort           100     0.75%         50   48.38  19   92   47.0  15.59
102     Merge_Sort           100        1%         50   42.96  23   83   39.0  14.85
103     Merge_Sort           100     1.25%         50   37.34  20   82   35.0  12.21
104     Merge_Sort           100      1.5%         50   31.08  14   71   30.0  10.94
105     Merge_Sort           100     1.75%         50   31.16  15   82   29.0  10.76
106     Merge_Sort           500     0.25%         50  146.62  59  310  136.5  57.21
107     Merge_Sort           500      0.5%         50   89.62  45  201   84.5  30.55
108     Merge_Sort           500     0.75%         50   72.42  38  120   70.0  19.03
109     Merge_Sort           500        1%         50   58.98  36  102   58.5  14.03
110     Merge_Sort           500     1.25%         50   48.54  29   80   47.0  11.22
111     Merge_Sort           500      1.5%         50   40.88  23   70   39.0   9.86
112     Merge_Sort           500     1.75%         50   39.78  21   73   38.0  10.30
113     Merge_Sort          1000     0.25%         50  174.52  84  400  167.0  59.56
114     Merge_Sort          1000      0.5%         50  102.12  55  178  100.0  26.27
115     Merge_Sort          1000     0.75%         50   74.56  44  135   72.0  19.98
116     Merge_Sort          1000        1%         50   60.04  39  118   57.0  15.88
117     Merge_Sort          1000     1.25%         50   51.00  31   78   50.5  10.68
118     Merge_Sort          1000      1.5%         50   47.38  27   86   47.0  11.28
119     Merge_Sort          1000     1.75%         50   40.76  29   89   38.0  10.79
120     Merge_Sort          2500     0.25%         50  201.28 121  329  192.0  47.89
121     Merge_Sort          2500      0.5%         50  115.82  77  192  109.0  28.89
122     Merge_Sort          2500     0.75%         50   91.32  59  186   90.0  25.36
123     Merge_Sort          2500        1%         50   69.66  45  146   62.5  22.98
124     Merge_Sort          2500     1.25%         50   57.66  40  152   54.5  17.36
125     Merge_Sort          2500      1.5%         50   48.20  32   82   48.0   9.83
126     Merge_Sort          2500     1.75%         50   42.86  30   89   40.5  10.25
127     Merge_Sort          5000     0.25%         50  215.66 141  391  203.5  57.36
128     Merge_Sort          5000      0.5%         50  125.38  77  181  122.5  25.00
129     Merge_Sort          5000     0.75%         50   88.22  57  181   87.0  19.83
130     Merge_Sort          5000        1%         50   73.12  45  136   68.0  15.84
131     Merge_Sort          5000     1.25%         50   57.50  40   81   56.5   9.98
132     Merge_Sort          5000      1.5%         50   49.68  34   91   48.0  10.89
