"ddd","t..Sequence_Size.Prob_Fail....4."
"7500:0.25%-5000:0.25%",0.00000000668889355015523
"10000:0.25%-5000:0.25%",0
"5000:0.75%-5000:0.25%",0
"7500:0.75%-5000:0.25%",0.0000138157193488864
"10000:0.75%-5000:0.25%",0.000952678688159625
"5000:1.25%-5000:0.25%",0
"7500:1.25%-5000:0.25%",0
"10000:1.25%-5000:0.25%",0
"10000:0.25%-7500:0.25%",0.0282527138776301
"5000:0.75%-7500:0.25%",0
"7500:0.75%-7500:0.25%",0
"10000:0.75%-7500:0.25%",0
"5000:1.25%-7500:0.25%",0
"7500:1.25%-7500:0.25%",0
"10000:1.25%-7500:0.25%",0
"5000:0.75%-10000:0.25%",0
"7500:0.75%-10000:0.25%",0
"10000:0.75%-10000:0.25%",0
"5000:1.25%-10000:0.25%",0
"7500:1.25%-10000:0.25%",0
"10000:1.25%-10000:0.25%",0
"7500:0.75%-5000:0.75%",0.125655578641488
"10000:0.75%-5000:0.75%",0.0074648337657407
"5000:1.25%-5000:0.75%",0.181914699383867
"7500:1.25%-5000:0.75%",0.359459154228447
"10000:1.25%-5000:0.75%",0.873691414533155
"10000:0.75%-7500:0.75%",0.99161120746932
"5000:1.25%-7500:0.75%",0.00000400251357624004
"7500:1.25%-7500:0.75%",0.0000226877996662989
"10000:1.25%-7500:0.75%",0.00092729422885196
"5000:1.25%-10000:0.75%",0.0000000234308039637199
"7500:1.25%-10000:0.75%",0.000000171250374658705
"10000:1.25%-10000:0.75%",0.0000133744530176338
"7500:1.25%-5000:1.25%",0.99999449248647
"10000:1.25%-5000:1.25%",0.964342913040281
"10000:1.25%-7500:1.25%",0.996364784544623
